response_id,user_id,timestamp,task_context,question,response_text,completion_status,device_type
R001,U1234,2024-03-15 14:23:12,checkout_complete,"What was the most frustrating part of the checkout process?","The shipping address form was annoying. It kept asking me to verify my address even though I've used it before. And the autocomplete didn't work properly - it suggested addresses that weren't even close to mine. I had to type everything manually, which took forever.",completed,mobile
R002,U1235,2024-03-15 14:45:33,checkout_complete,"What was the most frustrating part of the checkout process?","I couldn't find where to apply my discount code. I looked everywhere, but it wasn't obvious. I finally found it, but it was hidden in a dropdown menu. Why isn't it more prominent? I almost gave up because I thought I couldn't use my code.",completed,desktop
R003,U1236,2024-03-15 15:12:45,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","The shipping costs were way higher than I expected. It said 'free shipping over $50' but my cart was $52 and it still wanted to charge me $12 for shipping. That doesn't make sense. I'm not paying that much for shipping.",abandoned,mobile
R004,U1237,2024-03-15 15:34:21,checkout_complete,"What was the most frustrating part of the checkout process?","The payment form was confusing. It asked for my card number, then my name, then my billing address, but the fields were in a weird order. And there was no option to save my payment method for next time, which is annoying since I shop here regularly.",completed,desktop
R005,U1238,2024-03-15 16:01:09,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I got to the payment screen and realized I didn't have my wallet with me. I wanted to save my cart for later, but I couldn't find that option. So I just left. I'll probably come back later, but I'm not sure if my cart will still be there.",abandoned,mobile
R006,U1239,2024-03-15 16:23:56,checkout_complete,"What was the most frustrating part of the checkout process?","The page kept refreshing while I was filling out the form. I'd type something, and then the page would reload and I'd lose my progress. This happened three times before I finally got through. Very frustrating.",completed,desktop
R007,U1240,2024-03-15 16:45:12,checkout_complete,"What was the most frustrating part of the checkout process?","I couldn't see the total cost until the very end. There were all these fees and taxes being added, but I couldn't see the final price until I got to the confirmation screen. I wish I could see the total earlier in the process.",completed,mobile
R008,U1241,2024-03-15 17:12:34,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I was trying to checkout on my phone, but the form was too small and hard to fill out. The keyboard kept covering up the fields I was trying to fill. I'll probably try again on my computer later, but for now I'm giving up.",abandoned,mobile
R009,U1242,2024-03-15 17:34:45,checkout_complete,"What was the most frustrating part of the checkout process?","The shipping options were confusing. There were like 5 different options, but I couldn't tell the difference between them. What's the difference between 'Standard' and 'Economy' shipping? They both said 5-7 business days. Why are there two options that are the same?",completed,desktop
R010,U1243,2024-03-15 18:01:23,checkout_complete,"What was the most frustrating part of the checkout process?","I wanted to change my shipping address, but I couldn't figure out how. I clicked 'Edit' but it took me back to the beginning of the checkout process. I had to start over, which was annoying.",completed,mobile
R011,U1244,2024-03-15 18:23:45,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I got to the payment screen and realized the price was higher than I thought. There were all these extra fees that weren't shown on the product page. I'm not paying that much. I'll look elsewhere.",abandoned,desktop
R012,U1245,2024-03-15 18:45:12,checkout_complete,"What was the most frustrating part of the checkout process?","The form validation was too strict. It kept telling me my phone number was invalid, but I know it's correct. I tried formatting it different ways, but nothing worked. I finally just put in a fake number to get through.",completed,mobile
R013,U1246,2024-03-15 19:12:34,checkout_complete,"What was the most frustrating part of the checkout process?","I couldn't use Apple Pay even though there was a button for it. I clicked it, but nothing happened. I tried a few times, then gave up and just entered my card manually. That was annoying.",completed,mobile
R014,U1247,2024-03-15 19:34:56,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I was trying to checkout, but the site kept asking me to create an account. I don't want to create an account, I just want to buy something. There was no 'Guest Checkout' option, so I left.",abandoned,desktop
R015,U1248,2024-03-15 20:01:23,checkout_complete,"What was the most frustrating part of the checkout process?","The confirmation page took forever to load. I wasn't sure if my order went through or not. I waited like 2 minutes, then refreshed the page, and it said my order was processing. But I'm still not 100% sure it went through. I'll check my email, I guess.",completed,desktop
R016,U1249,2024-03-15 20:23:45,checkout_complete,"What was the most frustrating part of the checkout process?","I wanted to add a gift message, but I couldn't find where to do that. I looked everywhere, but it wasn't an option. I ended up just putting it in the shipping address notes, but I'm not sure if that will work.",completed,mobile
R017,U1250,2024-03-15 20:45:12,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","The checkout process was taking too long. I had to fill out so many forms, and each page took forever to load. I got bored and just closed the tab. I'll try again later when I have more time.",abandoned,mobile
R018,U1251,2024-03-15 21:12:34,checkout_complete,"What was the most frustrating part of the checkout process?","I couldn't see what items were in my cart during checkout. I wanted to double-check that I had the right sizes and colors, but the cart summary was collapsed and I couldn't expand it. I had to trust that everything was correct.",completed,desktop
R019,U1252,2024-03-15 21:34:56,checkout_complete,"What was the most frustrating part of the checkout process?","The billing address form was confusing. It asked if my billing address was the same as my shipping address, but when I said yes, it still made me fill out the billing address form. That doesn't make sense.",completed,mobile
R020,U1253,2024-03-15 22:01:23,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I got to the payment screen and realized I needed to check something on the product page. But when I tried to go back, it said I would lose my progress. So I just left. I'll start over later.",abandoned,desktop
R021,U1254,2024-03-16 09:12:45,checkout_complete,"What was the most frustrating part of the checkout process?","The shipping calculator was wrong. It said my package would arrive in 3-5 days, but when I got to the confirmation page, it said 7-10 days. That's a big difference. I wish the estimates were accurate from the start.",completed,desktop
R022,U1255,2024-03-16 09:34:12,checkout_complete,"What was the most frustrating part of the checkout process?","I couldn't change the quantity of items in my cart during checkout. I realized I wanted two of something instead of one, but I had to go all the way back to the cart page to change it. That was annoying.",completed,mobile
R023,U1256,2024-03-16 10:01:34,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","The site kept asking me to enable cookies, but I have cookies enabled. I tried refreshing, but it kept asking. I got frustrated and just left. I'll try again later.",abandoned,desktop
R024,U1257,2024-03-16 10:23:56,checkout_complete,"What was the most frustrating part of the checkout process?","The payment form didn't accept my card. I know the card is valid and has money on it, but it kept saying 'payment declined'. I tried a different card and it worked, but I'm not sure why the first one didn't work.",completed,mobile
R025,U1258,2024-03-16 10:45:23,checkout_complete,"What was the most frustrating part of the checkout process?","I wanted to split my payment between two cards, but there was no option for that. I had to use one card, which maxed out my credit limit. I wish there was a way to split payments.",completed,desktop
R026,U1259,2024-03-16 11:12:45,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I was trying to checkout, but the site was really slow. Each page took like 30 seconds to load. I got impatient and just closed it. I'll try again when the site is faster.",abandoned,mobile
R027,U1260,2024-03-16 11:34:12,checkout_complete,"What was the most frustrating part of the checkout process?","The checkout process was fine overall, but I wish there was a way to save my payment method for next time. I shop here regularly, and it's annoying to enter my card info every time.",completed,desktop
R028,U1261,2024-03-16 12:01:34,checkout_complete,"What was the most frustrating part of the checkout process?","I couldn't see the estimated delivery date until the very end. I wanted to know if my order would arrive in time for an event, but I had to go through the entire checkout process to find out. That was frustrating.",completed,mobile
R029,U1262,2024-03-16 12:23:56,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I got to the payment screen and realized I didn't have enough money in my account. I wanted to save my cart, but I couldn't find that option. So I just left. I'll come back when I have money.",abandoned,mobile
R030,U1263,2024-03-16 12:45:23,checkout_complete,"What was the most frustrating part of the checkout process?","The form kept timing out. I'd fill out a section, then move to the next section, and when I came back, my previous answers were gone. This happened twice. I had to start over both times.",completed,desktop
R031,U1264,2024-03-16 13:12:45,checkout_complete,"What was the most frustrating part of the checkout process?","I wanted to add insurance to my shipment, but I couldn't find that option. I looked everywhere, but it wasn't available. I'm shipping something expensive, so I wanted the extra protection.",completed,mobile
R032,U1265,2024-03-16 13:34:12,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I was trying to checkout, but I kept getting error messages. It said 'something went wrong' but didn't tell me what. I tried a few times, then gave up. I'll try again later or maybe just shop somewhere else.",abandoned,desktop
R033,U1266,2024-03-16 14:01:34,checkout_complete,"What was the most frustrating part of the checkout process?","The checkout process was mostly fine, but I wish there was a progress indicator. I didn't know how many steps were left, so I didn't know if I was almost done or if there were more pages to go through.",completed,mobile
R034,U1267,2024-03-16 14:23:56,checkout_complete,"What was the most frustrating part of the checkout process?","I couldn't use my store credit during checkout. I have $50 in store credit, but there was no option to apply it. I had to call customer service, and they applied it manually. That was annoying - it should be automatic.",completed,desktop
R035,U1268,2024-03-16 14:45:23,checkout_abandoned,checkout_abandoned,"Why did you leave without completing your purchase?","I was trying to checkout, but the site asked me to verify my identity with a text message. I don't have my phone with me, so I couldn't complete the verification. I'll try again later when I have my phone.",abandoned,mobile
R036,U1269,2024-03-16 15:12:45,checkout_complete,"What was the most frustrating part of the checkout process?","The shipping address autocomplete suggested the wrong address. I selected it by mistake, and then I had to manually correct it. The autocomplete should be more accurate, or at least let me edit it easily.",completed,desktop
R037,U1270,2024-03-16 15:34:12,checkout_complete,"What was the most frustrating part of the checkout process?","I wanted to change my shipping method after I selected it, but I couldn't figure out how. I had to go back to the beginning of checkout and start over. That was frustrating.",completed,mobile
